regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,0,8,sim_study1_near_sub43,5487,122.34167242433118,1119.823987413871
lazy_50,0,8,sim_study1_near_sub8,2164,2.831123882431223,1564.7577909023667
lazy_50,0,8,sim_study1_near_sub9,3802,328.6780985537407,1867.8492626019456
lazy_50,0,8,sim_study1_near_sub56,5176,179.5634161137323,2026.3203510336887
lazy_50,0,8,sim_study2_near_sub20,2650,251.57989589339644,5820.1108244065035
lazy_50,0,8,sim_study2_near_sub30,3946,0.0,1473.643978766897
lazy_50,0,8,sim_study1_near_sub52,4913,549.4562150411305,771.7691556655
lazy_50,0,8,sim_study2_near_sub8,5296,528.542068778908,1970.7886129303893
lazy_50,0,8,sim_study2_near_sub9,5455,573.4463527971288,1050.9145066163428
lazy_50,0,8,sim_study1_near_sub47,5303,700.5709966519942,783.5778096542374
lazy_50,0,8,sim_study1_near_sub53,5266,274.0500395974122,2129.65674735652
lazy_50,0,8,sim_study2_near_sub19,108,2124.1138753523915,5106.120767532372
lazy_50,0,8,sim_study2_near_sub31,5169,0.0,2737.0254324731422
lazy_50,0,8,sim_study2_near_sub27,5366,1390.243484361804,1082.8250741684387
lazy_50,0,8,sim_study2_near_sub33,4921,496.00082062701813,1494.097586608746
lazy_50,0,8,sim_study1_near_sub45,4686,954.3414536815789,823.2650603849681
lazy_50,0,8,sim_study1_near_sub50,134,0.0,1769.0000227116425
lazy_50,0,8,sim_study2_near_sub32,5107,743.4234002059484,2028.7977420999944
lazy_50,0,8,sim_study2_near_sub26,4995,740.4335880861584,1441.755475174461
lazy_50,0,8,sim_study2_near_sub17,1624,52.869764393160146,2938.0382410952775
lazy_50,0,8,sim_study1_near_sub49,5321,189.34345321196997,2279.031400010611
lazy_50,0,8,sim_study1_near_sub2,5289,949.2845427632403,1958.6674441487814
lazy_50,0,8,sim_study2_near_sub7,5476,131.07778677281766,615.7649816932303
lazy_50,0,8,sim_study2_near_sub6,5245,229.3496508632558,1453.291268894621
lazy_50,0,8,sim_study1_near_sub74,1781,334.0082982615772,1823.2335373941062
lazy_50,0,8,sim_study2_near_sub16,187,352.21528037689336,3367.414459034661
lazy_50,0,8,sim_study2_near_sub28,5287,518.8384553458241,134.92633637361092
